Pos,Game,Platform,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global
142,Monster Hunter Freedom Unite,PSP,1989,Puzzle,Nintendo,2.18,0.96,2,0.2,5.34
143,Dr. Mario,GB,1999,Misc,Nintendo,3.02,1.12,1.01,0.16,5.31
144,Pokémon Pinball,GB,2000,Role-Playing,Square,1.62,0.77,2.78,0.14,5.3
145,Final Fantasy IX,PS,2007,Adventure,Ubisoft,3.11,1.57,0.07,0.54,5.29
146,Assassin's Creed,X360,2003,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29
147,Final Fantasy X-2,PS2,1999,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27
148,Donkey Kong 64,N64,1997,Adventure,Eidos Interactive,2.3,2.46,0.2,0.28,5.24
149,Tomb Raider II,PS,N/A,Sports,Electronic Arts,4.26,0.26,0.01,0.71,5.23
150,Madden NFL 2004,PS2,2004,Role-Playing,Square Enix,0.65,0.75,3.61,0.2,5.21
151,Dragon Quest VIII: Journey of the Cursed King,PS2,2003,Platform,Nintendo,2.93,1.25,0.83,0.2,5.2
152,Super Mario Bros. 3,GBA,1994,Platform,Nintendo,2.49,0.98,1.57,0.15,5.19
153,Super Mario Land 3: Wario Land,GB,2008,Platform,Sony Computer Entertainment,2.61,1.62,0.17,0.78,5.18
154,LittleBigPlanet,PS3,1995,Platform,Nintendo,2.1,0.74,2.2,0.11,5.15
155,Donkey Kong Country 2: Diddy's Kong Quest,SNES,2003,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,5.13
156,Medal of Honor: Rising Sun,PS2,1992,Platform,Nintendo,2.71,0.61,1.7,0.11,5.13
157,Kirby's Dream Land,GB,1996,Simulation,Microsoft Game Studios,3.22,1.69,0,0.2,5.12
158,Microsoft Flight Simulator,PC,2006,Misc,RedOctane,3.81,0.63,0,0.68,5.12
159,Guitar Hero II,PS2,2009,Action,Ubisoft,2.88,1.61,0.08,0.52,5.1
160,Assassin's Creed II,X360,2007,Action,LucasArts,3.26,1.34,0,0.49,5.09
161,LEGO Star Wars: The Complete Saga,Wii,2007,Adventure,Nintendo,1.18,2.35,1.03,0.51,5.07
162,Professor Layton and the Curious Village,DS,1999,Platform,Nintendo,3.4,1.3,0.15,0.22,5.07
163,Super Mario Bros.,GB,1996,Action,Virgin Interactive,2.05,1.16,1.11,0.73,5.05
164,Resident Evil,PS,1999,Sports,Activision,3.42,1.38,0.02,0.2,5.02
165,Tony Hawk's Pro Skater,PS,2008,Sports,Nintendo,1.61,2.39,0.44,0.57,5.02
166,Mario & Sonic at the Olympic Games,DS,1999,Strategy,Eidos Interactive,2.79,1.89,0,0.33,5.01
167,Warzone 2100,PS,1998,Platform,Sony Computer Entertainment,3.36,1.36,0.07,0.21,5
168,Spyro the Dragon,PS,2008,Shooter,Activision,2.52,1.71,0,0.77,5
169,Call of Duty: World at War,PS3,2007,Misc,Activision,3.49,1.05,0.01,0.43,4.98
170,Guitar Hero III: Legends of Rock,PS2,2007,Shooter,Nintendo,3.03,1.18,0.29,0.47,4.97
171,Link's Crossbow Training,Wii,2007,Action,Nintendo,1.79,1.75,0.95,0.47,4.96
172,The Legend of Zelda: Phantom Hourglass,DS,2009,Role-Playing,Square Enix,1.57,1.06,1.87,0.45,4.95
173,Final Fantasy XIII,PS3,2010,Role-Playing,Microsoft Game Studios,3.43,1,0.05,0.44,4.92
174,Fable III,X360,2010,Sports,Electronic Arts,0.57,3.22,0.06,1.06,4.92
175,FIFA Soccer 11,PS3,2005,Sports,Electronic Arts,3.98,0.26,0.01,0.66,4.91
176,Madden NFL 06,PS2,2007,Role-Playing,Nintendo,1.81,1.16,1.54,0.37,4.89
177,Pokémon Mystery Dungeon: Explorers of Time / Darkness,DS,1997,Racing,Nintendo,2.91,0.99,0.89,0.1,4.88
178,Diddy Kong Racing,N64,N/A,Role-Playing,Unknown,0,0,4.86,0,4.86
179,Monster Hunter Freedom 3,PSP,2009,Action,Capcom,1.84,1.32,1.08,0.61,4.85
180,Resident Evil 5,PS3,1990,Puzzle,Nintendo,2.62,0.6,1.52,0.1,4.85
