Month,Year,Waist,d,Height ,Weight,BMI,Waist/Hip
June,1983,24,37,68,126,19.15614187,0.648648649
July,1983,22,34,65,108,17.97017751,0.647058824
August,1983,24,34,63,100,17.71227009,0.705882353
September,1983,23,34,65,105,17.47100592,0.676470588
October,1983,24,35,68,118,17.93987889,0.685714286
November,1983,22,34,68,112,17.02768166,0.647058824
December,1983,23,33,66,100,16.13865932,0.696969697
January,1984,22,34,68,115,17.48378028,0.647058824
February,1984,25,35,69,120,17.7189666,0.714285714
March,1984,24,35,67,118,18.47939407,0.685714286
April,1984,22,32,65,108,17.97017751,0.6875
May,1984,23,32,65,107,17.80378698,0.71875
June,1984,22,34,67,110,17.2265538,0.647058824
July,1984,23,34,67,116,18.16618401,0.676470588
August,1984,24,36,68.5,115,17.22947413,0.666666667
September,1984,25,35,63,105,18.5978836,0.714285714
October,1984,21,34,65,102,16.97183432,0.617647059
November,1984,25,36,68,125,19.004109,0.694444444
December,1984,23,35,67,118,18.47939407,0.657142857
January,1985,24,35,68,118,17.93987889,0.685714286
February,1985,23,34,69,117,17.27599244,0.676470588
March,1985,24,35,67,105,16.44352863,0.685714286
April,1985,23,34,67,114,17.85297394,0.676470588
May,1985,24,35,69,122,18.01428271,0.685714286
June,1985,22,34,67,110,17.2265538,0.647058824
July,1985,22,32,67,112,17.53976387,0.6875
August,1985,24,35,67,123,19.26241925,0.685714286
September,1985,24,34,65,105,17.47100592,0.705882353
October,1985,25,36,68.5,125,18.72768927,0.694444444
November,1985,NOT LISTED,NOT LISTED,65,110,18.30295858,
December,1985,23.5,35,67,118,18.47939407,0.671428571
January,1986,22,34,65,104,17.30461538,0.647058824
February,1986,24,35,67,115,18.00957897,0.685714286
March,1986,23,35,66,118,19.043618,0.657142857
April,1986,21,34,67,108,16.91334373,0.617647059
May,1986,24,34,66,107,17.26836547,0.705882353
June,1986,24,34,65,105,17.47100592,0.705882353
July,1986,24,35,66.5,110,17.48657358,0.685714286
August,1986,24,34,67,114,17.85297394,0.705882353
September,1986,23,32,67,110,17.2265538,0.71875
October,1986,23,34,66,107,17.26836547,0.676470588
November,1986,23,35,70,127,18.22061224,0.657142857
December,1986,21,33,67,103,16.13031856,0.636363636
January,1987,23,34,65,105,17.47100592,0.676470588
February,1987,24,36,68,130,19.76427336,0.666666667
April,1987,23,34,61,98,18.51491535,0.676470588
May,1987,24,35,68,120,18.24394464,0.685714286
June,1987,21,33,67,107,16.75673869,0.636363636
July,1987,23,35,67,115,18.00957897,0.657142857
August,1987,22,34,62,100,18.28824142,0.647058824
September,1987,24,36,67,118,18.47939407,0.666666667
October,1987,24,35,65,105,17.47100592,0.685714286
November,1987,23,33.5,65,105,17.47100592,0.686567164
December,1987,24,34,71,127,17.71097005,0.705882353
January,1988,24,36,69,122,18.01428271,0.666666667
February,1988,22,33,65,101,16.80544379,0.666666667
March,1988,25,35,68,117,17.78784602,0.714285714
April,1988,25,35,68,125,19.004109,0.714285714
May,1988,24,35,67,118,18.47939407,0.685714286
June,1988,24,35,67,110,17.2265538,0.685714286
July,1988,22,32,66.5,109,17.32760473,0.6875
September,1988,24.5,34,63,105,18.5978836,0.720588235
October,1988,21,32,63,94,16.64953389,0.65625
November,1988,24,35,68.5,123,18.42804625,0.685714286
December,1988,24,35,66,115,18.55945822,0.685714286
January,1989,24,35,70,122,17.50326531,0.685714286
February,1989,24,35,65.5,117,19.17161005,0.685714286
March,1989,24.5,36,70,125,17.93367347,0.680555556
April,1989,24,34,67,117,18.32278904,0.705882353
May,1989,23,35,67,114,17.85297394,0.657142857
June,1989,24,34,69,120,17.7189666,0.705882353
July,1989,24,32,65,108,17.97017751,0.75
August,1989,24,34,67,110,17.2265538,0.705882353
September,1989,23,34,64.5,103,17.40496364,0.676470588
October,1989,21,32,64,105,18.02124023,0.65625
November,1989,23,32,66,112,18.07529844,0.71875
December,1989,24,35,68,120,18.24394464,0.685714286
January,1990,23,35,67,115,18.00957897,0.657142857
February,1990,22,34,67,105,16.44352863,0.647058824
March,1990,23,34,66,110,17.75252525,0.676470588
April,1990,24,36,69,120,17.7189666,0.666666667
May,1990,24,36,68,125,19.004109,0.666666667
June,1990,24,35,68.5,128,19.17715382,0.685714286
July,1990,24,34,64,113,19.39428711,0.705882353
August,1990,24,35,66,113,18.23668503,0.685714286
September,1990,22,33,65.5,110,18.02459064,0.666666667
October,1990,24,34,66,120,19.36639118,0.705882353
November,1990,24,32,66,112,18.07529844,0.75
December,1990,24,34,71,126,17.57151359,0.705882353
January,1991,23,35,67,115,18.00957897,0.657142857
February,1991,23,26,66,110,17.75252525,0.884615385
March,1991,22,32,65,110,18.30295858,0.6875
April,1991,23,34,68,109,16.57158304,0.676470588
May,1991,24,34,68,120,18.24394464,0.705882353
June,1991,27,38,69,130,19.19554715,0.710526316
July,1991,23,35,66,112,18.07529844,0.657142857
August,1991,22,34,63,105,18.5978836,0.647058824
September,1991,25,36,70,135,19.36836735,0.694444444
October,1991,22,35,66,110,17.75252525,0.628571429
November,1991,23,34,67,108,16.91334373,0.676470588
December,1991,24,36,70,120,17.21632653,0.666666667
January,1992,23,34,65,100,16.63905325,0.676470588
February,1992,25,35,68.5,123,18.42804625,0.714285714
March,1992,23,34,66,116,18.72084481,0.676470588
April,1992,24,36,67,118,18.47939407,0.666666667
May,1992,26,38,71,140,19.52390399,0.684210526
June,1992,26,35,66,115,18.55945822,0.742857143
July,1992,25,37,68.5,133,19.92626139,0.675675676
August,1992,24,34,68.5,123,18.42804625,0.705882353
September,1992,22,34,68.5,120,17.9785817,0.647058824
October,1992,25,36,66,120,19.36639118,0.694444444
November,1992,23.5,34,69,115,16.98067633,0.691176471
December,1992,24,35,66,119,19.20500459,0.685714286
January,1993,23,33,67,110,17.2265538,0.696969697
February,1993,24,35,70,120,17.21632653,0.685714286
March,1993,24,34,68,115,17.48378028,0.705882353
April,1993,23,34,66,108,17.42975207,0.676470588
May,1993,24,34,68.5,118,17.67893868,0.705882353
