"link","frequency"
"http://t.co/8Q03bwmmUR”",1
"http://t.co/8QUCJu…",41
"http://t.co/8r7IT8srvP",1
"http://t.co/8rD8Quc2Rh",1
"http://t.co/8sX6jfpxt1",1
"http://t.co/8TC7Smf2Wl",1
"http://t.co/8uKShk434A",4
"http://t.co/8UmPHiEduA",1
"http://t.co/8USlahCzvs",1
"http://t.co/8VAiCnQnnm””",5
"http://t.co/8VIEU8mWCx",1
"http://t.co/8vzKkAEOjx""",1
"http://t.co/8Xj…",1
"http://t.co/8YQYX4RH7D""",1
"http://t.co/8zgzaAnhAL”",1
"http://t.co/8zmRfACrNw",1
"http://t.co/907UblUgAD”",1
"http://t.co/919PYDh4zK",1
"http://t.co/91jTnFUq0t",2
"http://t.co/92sXXu2VLv",1
"http://t.co/94n0pxPoDU",1
"http://t.co/94QT5vVG1i”",4
"http://t.co/95KtIbK7Fr",1
"http://t.co/9662nTvqac",1
"http://t.co/96andmzs…",1
"http://t.co/96andmzsMw",1
"http://t.co/96kh773I68",4
"http://t.co/9AijAHTcT4",1
"http://t.co/9B07QTGZor",1
"http://t.co/9BISmTJv6L",1
"http://t.co/9BLwY8sBAc""",1
"http://t.co/9bzvkQIgwq",1
"http://t.co/9cXyRrnGfj",1
"http://t.co/9d5RtHXgbV…",2
"http://t.co/9DMb8cDTTG",1
"http://t.co/9Dw0lEF8VE”",1
"http://t.co/9e1T48v7fl",1
"http://t.co/9H5sftjvpe”",1
"http://t.co/9HosHOXmCF",1
"http://t.co/9hrUTOL8Yf",1
"http://t.co/9iOoEK8r6W",1
"http://t.co/9ipPKRRAeB”",1
"http://t.co/9JSXoIPVaJ",1
"http://t.co/9kv4RMPLYg",1
"http://t.co/9Lh7Tmx3VT",1
"http://t.co/9m2PUAvXgw",1
"http://t.co/9MEcQ7yOB4",1
"http://t.co/9mkS8Su20D",1
"http://t.co/9MXhrbfNpM",2
"http://t.co/9ocqqcfxEf”",1
"http://t.co/9OKBvi4uyI",1
"http://t.co/9ORSwwXknx",1
"http://t.co/9oZLrxgt6N",1
"http://t.co/9p6l03o3JX",7
"http://t.co/9pqGQrfk5n",3
"http://t.co/9QMEJa8dSY",1
"http://t.co/9qTw6koXC8",1
"http://t.co/9QvrBsrP2L”",1
"http://t.co/9r1S5yLhUd",2
"http://t.co/9RBAIMMmdN""",1
"http://t.co/9S1xgfUYQU",1
"http://t.co/9SjCMGivdR",1
"http://t.co/9TUJDEBO40”",1
"http://t.co/9uEvjZrMnA”",1
"http://t.co/9VesblKbEw",1
"http://t.co/9WOTR1YFXT",1
"http://t.co/9XP1KjB8tw",3
"http://t.co/9Y3ORuYMOS",1
"http://t.co/9Y4lpBtC5n”",1
"http://t.co/9yG6m4tZnJ",1
"http://t.co/9YJqJ2d2OY",1
"http://t.co/A0BN4S8UUT",17
"http://t.co/a124iU868z”",1
"http://t.co/A2wDCKKGHv",1
"http://t.co/a3V42Su3jL",1
"http://t.co/a4cWvE5mvw”",1
"http://t.co/a5sa3KJKmZ",1
"http://t.co/A5SkRx1w1q",1
"http://t.co/a5ZFYvVnrJ",2
"http://t.co/a6qGd9gLnK",1
"http://t.co/a6ygvuOTff",1
"http://t.co/A8b52Mtcc5""",4
"http://t.co/a966lz3dYu""",1
"http://t.co/a9fB0oUXZU",1
"http://t.co/a9NOmIzV3P”",1
"http://t.co/aAUahz9hrl",1
"http://t.co/aB44PqZawZ",1
"http://t.co/aBaMwOqpPK",1
"http://t.co/ablMTajybI",1
"http://t.co/aBQCPNw1hD”",1
"http://t.co/aBRAqYPSVv",1
"http://t.co/ac4igmI1nn",1
"http://t.co/Ac7wLIZlvR",1
"http://t.co/aCGmj1xXsz",2
"http://t.co/AcUuiiKxHM",1
"http://t.co/Ad4KdW2dbL",1
"http://t.co/ADi9PiqVq2""",1
"http://t.co/adyMQNpDnD",1
"http://t.co/adZopVs1KG",5
"http://t.co/aE4FfhTp0X”",1
"http://t.co/AeJR69CbVW",1
"http://t.co/AeN6V5cRmI",1
"http://t.co/aevapAJFq8”",1
"http://t.co/AF0bQWWsxJ""",1
"http://t.co/AF7HvzW6yX",5
"http://t.co/AFdH2J8PJO",1
"http://t.co/AFsUIWpTX5”",1
"http://t.co/AGaJKbWC3B”",1
"http://t.co/agQuAObF01",1
"http://t.co/Ah5UGv11SW""",2
"http://t.co/AhCxpCX3dB",3
"http://t.co/AHDEeIwN7e",1
"http://t.co/AhfHKTXANd",2
"http://t.co/AHopwDRh61",1
"http://t.co/ahWVkdThMp",1
"http://t.co/AhyjcBR8Vc",2
"http://t.co/AiFgOHBl9b",1
"http://t.co/ajwXs2Cy3z",1
"http://t.co/AKIpyDQc0Z",1
"http://t.co/AknNA2jNJP",1
"http://t.co/akYhwooQ2W",1
