"txt","person","inDegree","outDegree","betweenness","totalDegree","timeperiod","timeperiodNum"
NA,"bogdan","7","4","99","11","all-fixed.csv","6"
NA,"bradediger","4","2","48","6","all-fixed.csv","6"
NA,"canweriotnow","0","1","0","1","all-fixed.csv","6"
NA,"carlosantoniodasilva","12","10","344.142755392756","22","all-fixed.csv","6"
NA,"chris-baynes","3","3","0","6","all-fixed.csv","6"
NA,"conradwt","1","1","0","2","all-fixed.csv","6"
NA,"dlee","10","5","335","15","all-fixed.csv","6"
NA,"drogus","1","2","40.5854700854701","3","all-fixed.csv","6"
NA,"exviva","1","1","0","2","all-fixed.csv","6"
NA,"frodsan","0","1","0","1","all-fixed.csv","6"
NA,"funny-falcon","2","1","0","3","all-fixed.csv","6"
NA,"fxn","9","13","612.844516565247","22","all-fixed.csv","6"
NA,"gregolsen","1","1","0","2","all-fixed.csv","6"
NA,"guilleiguaran","5","10","118.950793650794","15","all-fixed.csv","6"
NA,"headius","1","0","0","1","all-fixed.csv","6"
NA,"hmcfletch","7","2","264.51452991453","9","all-fixed.csv","6"
NA,"homakov","3","2","12","5","all-fixed.csv","6"
NA,"houen","0","1","0","1","all-fixed.csv","6"
NA,"igrigorik","1","0","0","1","all-fixed.csv","6"
NA,"iHiD","2","3","0","5","all-fixed.csv","6"
NA,"indrekj","0","1","0","1","all-fixed.csv","6"
NA,"isaacsanders","1","7","5.50268842268842","8","all-fixed.csv","6"
NA,"jeremy","4","3","101.181196581197","7","all-fixed.csv","6"
NA,"jeremyf","1","7","67.3782654127482","8","all-fixed.csv","6"
NA,"jkaneacumen","0","2","0","2","all-fixed.csv","6"
NA,"joevandyk","9","8","115.091316526611","17","all-fixed.csv","6"
NA,"jonleighton","9","2","122.925655716832","11","all-fixed.csv","6"
NA,"josevalim","19","27","813.989866821631","46","all-fixed.csv","6"
NA,"kennyj","22","18","1293.8386132206","40","all-fixed.csv","6"
NA,"kreynolds","2","0","0","2","all-fixed.csv","6"
NA,"lest","1","3","0","4","all-fixed.csv","6"
NA,"lloeki","0","1","0","1","all-fixed.csv","6"
NA,"markiz","1","3","0","4","all-fixed.csv","6"
NA,"masterkain","0","2","0","2","all-fixed.csv","6"
NA,"Mik-die","1","0","0","1","all-fixed.csv","6"
NA,"mledom","1","1","0","2","all-fixed.csv","6"
NA,"nashby","4","3","21.5543201243201","7","all-fixed.csv","6"
NA,"ncreuschling","1","1","0","2","all-fixed.csv","6"
NA,"nicksieger","1","0","0","1","all-fixed.csv","6"
NA,"NZKoz","6","9","203.166666666667","15","all-fixed.csv","6"
NA,"parndt","3","2","83.7978077478078","5","all-fixed.csv","6"
NA,"patrick99e99","7","6","156.085539210245","13","all-fixed.csv","6"
NA,"paukul","1","0","0","1","all-fixed.csv","6"
NA,"Pliny","2","1","0","3","all-fixed.csv","6"
NA,"radar","0","2","0","2","all-fixed.csv","6"
NA,"rafaelfranca","4","7","272.870442433384","11","all-fixed.csv","6"
NA,"rinaldifonseca","2","1","0","3","all-fixed.csv","6"
NA,"sobrinho","0","1","0","1","all-fixed.csv","6"
NA,"spastorino","2","3","65.2617579445571","5","all-fixed.csv","6"
NA,"sskirby","5","5","99","10","all-fixed.csv","6"
NA,"stevegraham","4","3","0","7","all-fixed.csv","6"
NA,"steveklabnik","1","4","49","5","all-fixed.csv","6"
NA,"tenderlove","26","18","1059.64426046683","44","all-fixed.csv","6"
NA,"thaidn","5","5","0","10","all-fixed.csv","6"
NA,"thatRD","2","1","48","3","all-fixed.csv","6"
NA,"twinturbo","0","1","0","1","all-fixed.csv","6"
NA,"vijaydev","2","3","22.4136363636364","5","all-fixed.csv","6"
"93","agibralter","0","1","0","1","all-fixed.csv","7"
NA,"akostrikov","1","1","0","2","all-fixed.csv","7"
NA,"amarshall","1","1","0","2","all-fixed.csv","7"
NA,"andrewhubbs","3","2","65","5","all-fixed.csv","7"
NA,"arturopie","3","1","0","4","all-fixed.csv","7"
NA,"arunagw","3","4","193.698162367812","7","all-fixed.csv","7"
NA,"bcardarella","4","3","29.7672465219477","7","all-fixed.csv","7"
NA,"benmmurphy","2","0","0","2","all-fixed.csv","7"
NA,"bfolkens","1","0","0","1","all-fixed.csv","7"
NA,"bjornblomqvist","4","1","0","5","all-fixed.csv","7"
NA,"bogdan","0","2","0","2","all-fixed.csv","7"
NA,"brianewing","0","3","0","3","all-fixed.csv","7"
NA,"bryanmikaelian","0","1","0","1","all-fixed.csv","7"
NA,"butcher","4","1","134.950980392157","5","all-fixed.csv","7"
NA,"carlosantoniodasilva","25","36","1129.80645820611","61","all-fixed.csv","7"
NA,"cgriego","1","1","0.426996979628559","2","all-fixed.csv","7"
NA,"chriseppstein","1","1","0","2","all-fixed.csv","7"
NA,"davidjrice","32","23","336.233894852295","55","all-fixed.csv","7"
NA,"dazuma","1","1","0","2","all-fixed.csv","7"
NA,"dchelimsky","5","5","1.76045817491051","10","all-fixed.csv","7"
NA,"dhh","1","0","0","1","all-fixed.csv","7"
NA,"dlee","2","2","3.20207691429875","4","all-fixed.csv","7"
NA,"dmathieu","4","2","199.949513845833","6","all-fixed.csv","7"
NA,"dolzenko","2","0","0","2","all-fixed.csv","7"
NA,"drogus","13","21","754.332152431237","34","all-fixed.csv","7"
NA,"dv","5","1","47.6847935383741","6","all-fixed.csv","7"
NA,"ebeigarts","1","0","0","1","all-fixed.csv","7"
NA,"Empact","4","2","0","6","all-fixed.csv","7"
