"txt","person","inDegree","outDegree","betweenness","totalDegree","timeperiod","timeperiodNum"
NA,"paukul","1","0","0","1","comments-fixed.csv","6"
NA,"Pliny","2","1","0","3","comments-fixed.csv","6"
NA,"radar","0","2","0","2","comments-fixed.csv","6"
NA,"rafaelfranca","4","7","269.055498096675","11","comments-fixed.csv","6"
NA,"rinaldifonseca","2","1","0","3","comments-fixed.csv","6"
NA,"sobrinho","0","1","0","1","comments-fixed.csv","6"
NA,"spastorino","0","1","0","1","comments-fixed.csv","6"
NA,"sskirby","5","5","95","10","comments-fixed.csv","6"
NA,"stevegraham","4","3","0","7","comments-fixed.csv","6"
NA,"steveklabnik","1","4","47","5","comments-fixed.csv","6"
NA,"tenderlove","26","16","978.039388389388","42","comments-fixed.csv","6"
NA,"thaidn","5","5","0","10","comments-fixed.csv","6"
NA,"thatRD","2","1","46","3","comments-fixed.csv","6"
NA,"twinturbo","0","1","0","1","comments-fixed.csv","6"
NA,"vijaydev","2","3","19.7731601731602","5","comments-fixed.csv","6"
"92","agibralter","0","1","0","1","comments-fixed.csv","7"
NA,"akostrikov","1","1","0","2","comments-fixed.csv","7"
NA,"amarshall","1","1","0","2","comments-fixed.csv","7"
NA,"andrewhubbs","3","2","64","5","comments-fixed.csv","7"
NA,"arturopie","3","1","0","4","comments-fixed.csv","7"
NA,"arunagw","3","4","203.241960507893","7","comments-fixed.csv","7"
NA,"bcardarella","4","3","140.008324360414","7","comments-fixed.csv","7"
NA,"benmmurphy","2","0","0","2","comments-fixed.csv","7"
NA,"bfolkens","1","0","0","1","comments-fixed.csv","7"
NA,"bjornblomqvist","4","1","0","5","comments-fixed.csv","7"
NA,"bogdan","0","2","0","2","comments-fixed.csv","7"
NA,"brianewing","0","3","0","3","comments-fixed.csv","7"
NA,"bryanmikaelian","0","1","0","1","comments-fixed.csv","7"
NA,"butcher","4","1","132.98717948718","5","comments-fixed.csv","7"
NA,"carlosantoniodasilva","16","29","799.343487426755","45","comments-fixed.csv","7"
NA,"cgriego","1","1","0.455067155067155","2","comments-fixed.csv","7"
NA,"chriseppstein","1","1","0","2","comments-fixed.csv","7"
NA,"davidjrice","32","23","331.813771128507","55","comments-fixed.csv","7"
NA,"dazuma","1","1","0","2","comments-fixed.csv","7"
NA,"dchelimsky","5","5","1.80804092421739","10","comments-fixed.csv","7"
NA,"dhh","1","0","0","1","comments-fixed.csv","7"
NA,"dlee","2","2","4.25809850830284","4","comments-fixed.csv","7"
NA,"dmathieu","4","2","198.681845091816","6","comments-fixed.csv","7"
NA,"dolzenko","2","0","0","2","comments-fixed.csv","7"
NA,"drogus","11","19","714.240327975119","30","comments-fixed.csv","7"
NA,"dv","5","1","46.4338993505947","6","comments-fixed.csv","7"
NA,"ebeigarts","1","0","0","1","comments-fixed.csv","7"
NA,"Empact","4","2","0","6","comments-fixed.csv","7"
NA,"Fjan","2","1","0","3","comments-fixed.csv","7"
NA,"Fluxx","0","1","0","1","comments-fixed.csv","7"
NA,"fxn","7","8","261.739051045573","15","comments-fixed.csv","7"
NA,"gampleman","9","3","266","12","comments-fixed.csv","7"
NA,"gregolsen","1","2","7.68115942028986","3","comments-fixed.csv","7"
NA,"guilleiguaran","34","28","830.224616227852","62","comments-fixed.csv","7"
NA,"Hakon","0","1","0","1","comments-fixed.csv","7"
NA,"homakov","2","1","1.71513712840549","3","comments-fixed.csv","7"
NA,"ifesdjeen","0","1","0","1","comments-fixed.csv","7"
NA,"isaacsanders","4","9","170.742344675959","13","comments-fixed.csv","7"
NA,"isabanin","1","1","0","2","comments-fixed.csv","7"
NA,"jcla1","0","1","0","1","comments-fixed.csv","7"
NA,"jcoleman","8","7","814.046410708199","15","comments-fixed.csv","7"
NA,"jeremy","31","17","642.888588779528","48","comments-fixed.csv","7"
NA,"jeremyf","1","2","0","3","comments-fixed.csv","7"
NA,"jeyb","0","1","0","1","comments-fixed.csv","7"
NA,"joe1chen","1","2","79","3","comments-fixed.csv","7"
NA,"JohanB","0","1","0","1","comments-fixed.csv","7"
NA,"jonleighton","3","4","89.3948865285536","7","comments-fixed.csv","7"
NA,"josevalim","50","69","1920.47152155281","119","comments-fixed.csv","7"
NA,"josh","4","2","0","6","comments-fixed.csv","7"
NA,"ka8725","0","1","0","1","comments-fixed.csv","7"
NA,"keithpitt","2","0","0","2","comments-fixed.csv","7"
NA,"kenmazaika","2","0","0","2","comments-fixed.csv","7"
NA,"kennyj","10","15","356.992000521406","25","comments-fixed.csv","7"
NA,"KensoDev","0","1","0","1","comments-fixed.csv","7"
NA,"kierangraham","0","2","0","2","comments-fixed.csv","7"
NA,"krsmurata","1","1","0","2","comments-fixed.csv","7"
NA,"Lte","0","1","0","1","comments-fixed.csv","7"
NA,"luke-gru","0","1","0","1","comments-fixed.csv","7"
NA,"metaskills","0","3","0","3","comments-fixed.csv","7"
NA,"myabc","0","1","0","1","comments-fixed.csv","7"
NA,"nashby","2","2","159","4","comments-fixed.csv","7"
NA,"nertzy","0","1","0","1","comments-fixed.csv","7"
NA,"nlsrchtr","0","1","0","1","comments-fixed.csv","7"
NA,"nmertaugh","1","5","0","6","comments-fixed.csv","7"
NA,"NZKoz","2","1","0","3","comments-fixed.csv","7"
NA,"obie","0","1","0","1","comments-fixed.csv","7"
NA,"panthomakos","2","2","64.9362044817928","4","comments-fixed.csv","7"
NA,"parndt","25","11","1422.82040596951","36","comments-fixed.csv","7"
NA,"patrick99e99","8","7","213.78521709942","15","comments-fixed.csv","7"
NA,"pixeltrix","2","1","64","3","comments-fixed.csv","7"
NA,"rafaelfranca","10","18","858.134727583056","28","comments-fixed.csv","7"
NA,"robyurkowski","0","1","0","1","comments-fixed.csv","7"
NA,"rywall","0","2","0","2","comments-fixed.csv","7"
NA,"samsoffes","0","2","0","2","comments-fixed.csv","7"
NA,"sausman","10","6","177.112211188364","16","comments-fixed.csv","7"
NA,"skojin","1","1","0","2","comments-fixed.csv","7"
NA,"sobrinho","1","1","3.86625548364679","2","comments-fixed.csv","7"
NA,"spastorino","8","5","2.83016498751793","13","comments-fixed.csv","7"
NA,"sskirby","3","2","0","5","comments-fixed.csv","7"
NA,"sstephenson","2","0","0","2","comments-fixed.csv","7"
NA,"steveklabnik","3","6","401.068414918415","9","comments-fixed.csv","7"
NA,"swrobel","0","2","0","2","comments-fixed.csv","7"
